--- New simulation start ---
It: 380 | Pl: 25, Herb: 17, Pred: 1, Apex: 0
It: 400 | Pl: 24, Herb: 16, Pred: 1, Apex: 0
It: 20 | Pl: 63, Herb: 38, Pred: 4, Apex: 1
It: 40 | Pl: 58, Herb: 34, Pred: 4, Apex: 0
It: 60 | Pl: 47, Herb: 37, Pred: 4, Apex: 0
It: 80 | Pl: 37, Herb: 24, Pred: 4, Apex: 0
It: 100 | Pl: 38, Herb: 22, Pred: 4, Apex: 0
It: 120 | Pl: 36, Herb: 17, Pred: 4, Apex: 0
It: 140 | Pl: 39, Herb: 10, Pred: 3, Apex: 0
It: 160 | Pl: 39, Herb: 7, Pred: 3, Apex: 0
It: 180 | Pl: 45, Herb: 6, Pred: 3, Apex: 0
It: 200 | Pl: 48, Herb: 5, Pred: 3, Apex: 0
It: 220 | Pl: 52, Herb: 4, Pred: 3, Apex: 0
It: 240 | Pl: 53, Herb: 5, Pred: 2, Apex: 0
It: 260 | Pl: 61, Herb: 4, Pred: 2, Apex: 0
It: 280 | Pl: 67, Herb: 3, Pred: 2, Apex: 0
It: 300 | Pl: 66, Herb: 6, Pred: 1, Apex: 0
It: 320 | Pl: 71, Herb: 5, Pred: 1, Apex: 0
It: 340 | Pl: 72, Herb: 6, Pred: 1, Apex: 0
It: 360 | Pl: 72, Herb: 10, Pred: 1, Apex: 0
It: 380 | Pl: 64, Herb: 19, Pred: 1, Apex: 0
It: 400 | Pl: 52, Herb: 35, Pred: 0, Apex: 0
It: 20 | Pl: 61, Herb: 36, Pred: 3, Apex: 2
It: 40 | Pl: 49, Herb: 44, Pred: 3, Apex: 0
It: 60 | Pl: 40, Herb: 43, Pred: 3, Apex: 0
It: 80 | Pl: 24, Herb: 42, Pred: 3, Apex: 0
It: 100 | Pl: 20, Herb: 31, Pred: 3, Apex: 0
It: 120 | Pl: 16, Herb: 25, Pred: 3, Apex: 0
It: 140 | Pl: 16, Herb: 18, Pred: 3, Apex: 0
It: 160 | Pl: 20, Herb: 8, Pred: 3, Apex: 0
It: 180 | Pl: 24, Herb: 2, Pred: 3, Apex: 0
It: 200 | Pl: 30, Herb: 2, Pred: 3, Apex: 0
It: 220 | Pl: 34, Herb: 1, Pred: 3, Apex: 0
It: 240 | Pl: 41, Herb: 1, Pred: 3, Apex: 0
It: 260 | Pl: 47, Herb: 0, Pred: 1, Apex: 0
It: 280 | Pl: 55, Herb: 0, Pred: 1, Apex: 0
It: 300 | Pl: 58, Herb: 0, Pred: 1, Apex: 0
It: 320 | Pl: 63, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 68, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 72, Herb: 24, Pred: 5, Apex: 0
It: 40 | Pl: 68, Herb: 26, Pred: 5, Apex: 0
It: 60 | Pl: 52, Herb: 35, Pred: 5, Apex: 0
It: 80 | Pl: 44, Herb: 33, Pred: 5, Apex: 0
It: 100 | Pl: 48, Herb: 22, Pred: 5, Apex: 0
It: 120 | Pl: 45, Herb: 15, Pred: 5, Apex: 0
It: 140 | Pl: 47, Herb: 12, Pred: 5, Apex: 0
It: 160 | Pl: 45, Herb: 12, Pred: 4, Apex: 0
It: 180 | Pl: 42, Herb: 6, Pred: 4, Apex: 0
It: 200 | Pl: 48, Herb: 4, Pred: 4, Apex: 0
It: 220 | Pl: 52, Herb: 0, Pred: 4, Apex: 0
It: 240 | Pl: 60, Herb: 0, Pred: 4, Apex: 0
